序号,餐厅名称,餐厅地址,详情信息
150,黄埭中翔,黄埭镇方桥路28号1幢一层,"Wi-Fi,生日餐会"
151,昆山万达,周市镇青阳北路218号,"Wi-Fi,店内参观"
152,苏站南广场精选,苏州火车站到达层南侧出站口,"Wi-Fi,精选店"
153,常熟万达,珠海路8号,Wi-Fi
154,新区龙湖,塔园路181号14栋5层SZSSTJ-A-5F-17,"Wi-Fi,点唱机"
155,周庄,周庄镇全福路118号,"Wi-Fi,点唱机"
156,张家港妙桥,塘桥镇妙桥中路319号321号323号喝吹鼓路336号,"Wi-Fi,生日餐会"
157,苏州中心,苏州中心4楼肯德基,Wi-Fi
158,龙湖甜品站,塔园路181号6楼甜品站,Wi-Fi
159,昆山南站,人民南路与创业路高铁南站3号出口对面,
160,吴江水秀天地餐厅,吴江区开平路3688/3888号独栋4#1层,"Wi-Fi,点唱机"
161,相城天虹,相城大道1168号天虹购物中心一层F114,"Wi-Fi,生日餐会"
162,太阳广场,姑苏区石路88号一层，二层,"Wi-Fi,点唱机,生日餐会"
163,绿宝外卖点,长江路436号绿宝购物中心二期三楼1-312A,Wi-Fi
164,SZH993,相城大道1168号天虹购物中心三层,Wi-Fi
165,吴江万宝甜品站,中山南路1088号万宝财富商业广场一楼,
166,城市生活广场,平泷路251号苏州城市生活广场一层102号、103号,"Wi-Fi,店内参观"
167,吴中悠方,吴中区木渎镇金枫路264号一层,"Wi-Fi,点唱机,店内参观"
168,杨舍老街甜品站,杨舍老街(园林路）,"Wi-Fi,店内参观"
169,公园甜品站,克拉水岸,
170,常熟西蒙外卖点,海虞南路88号常熟印象城三层03-K21,
171,丰隆中心,苏州工业园区钟园路788号丰隆城市中心一层115号,"Wi-Fi,店内参观"
172,园区体育公园,工业园区中新大道东999号一层L1-24号,"Wi-Fi,店内参观"
173,吴中凤凰广场(吴中区新华书旁),吴中区新华书店旁东吴北路66号,"Wi-Fi,点唱机"
174,狮子林,园林路56号、狮林寺巷55号,"Wi-Fi,店内参观"
175,双湖邻里甜品站,双湖邻里中心内一层铺位岛柜,
176,吴中悠方甜品站,吴中区木渎镇金枫路264号三层,
177,白马,高新区马涧路288号马涧商业广场2幢101-105室,"Wi-Fi,点唱机,生日餐会"
178,西城永捷甜品站,广济南路19号西城永捷生活广场1F-B101-1层岛柜,点唱机
179,张家港吾悦甜品站,号312经济技术开发区金港大道路338号张家港新城吾悦广场14幢M165第三层编,Wi-Fi
180,昆山火车站外卖点,人民南路1号昆山站KS-1F-05,
181,木渎影视城甜品站,吴中区木渎镇金山南路288号木渎影视城3号楼1层肯德基甜品站,Wi-Fi
182,太仓人民新路绿地,科教新城人民新路绿地乐和城肯德基太仓人民新路绿地店,"Wi-Fi,点唱机,店内参观,生日餐会"
183,昆山吾悦,昆山市玉山镇长江南路99号新城吾悦广场一层1030号、二层2026号,"Wi-Fi,店内参观"
184,山塘街,姑苏区山塘街48号,"Wi-Fi,点唱机,店内参观"
185,昆山新粮贸,人民北路1号二层,"Wi-Fi,生日餐会"
186,虎丘甜品站,姑苏区虎丘风景区内虎丘风情街区,
187,张家港万达,人民东路20号万达广场1062号商铺,Wi-Fi
188,尹山湖爱琴海,号为3109-3110号吴中区经济开发区清禾路888号尹山湖商业水街负一层铺位号为B1029号、一层铺位,"Wi-Fi,点唱机,生日餐会"
189,新区金鹰,狮山路298号金鹰国际广场一楼TEL-68123071,"Wi-Fi,点唱机"
190,虞山外卖点,常熟市虞山公园七孔桥旁,
191,阳澄湖服务区,沪宁高速阳澄湖服务区肯德基,Wi-Fi
192,吴江万象汇,开平路2299号吴江万象汇商业中心三楼L325号商铺,"Wi-Fi,点唱机"
193,邻瑞广场甜品站,工业园区西华林街88号金鸡湖邻里中心负一层铺位号KB110,
194,张家港金丰,金港镇镇山路59号(金丰商业广场)一层,Wi-Fi
195,苏州北站餐厅,铁路苏州北站站外商业街区SZB-B1-02铺位,Wi-Fi
196,常熟永旺餐厅,65号高新技术产业开发区东南大道168号永旺梦乐城常熟购物中心一层商铺164-1,Wi-Fi
197,吴江明珠城,江陵西路1688号一层、二层,"Wi-Fi,点唱机"
198,常熟古里餐厅,古里镇金湖路9号复兴大厦1幢101,"Wi-Fi,点唱机,店内参观"
199,吴江万象汇甜品站,开平路2299号吴江万象汇商业中心三层L349号商铺,
200,苏州星光耀,虎池路1583号1楼,"Wi-Fi,店内参观"
201,常熟永旺甜品站,号高新技术产业开发区东南大道168号永旺梦乐城常熟购物中心二层商铺253-3,Wi-Fi
202,拙政园,姑苏区东北街168号A组4室、5室,Wi-Fi
203,昆山世茂广场甜品站,开发区前进东路199号昆山世茂广场三楼D0L3S09号商铺,
204,石湖金陵广场,吴中经济开发区越溪街道南溪江路88号,"Wi-Fi,店内参观"
205,苏雅甜品站,吴中区工业园区苏雅路388号新天翔商业广场裙楼内天虹百货二层铺位A2001-2,Wi-Fi
206,甪直维乐城,吴中区甪直镇陶浜路399号南山维乐邻里生活广场一层铺位号101,"Wi-Fi,店内参观"
207,张家港乐余,乐余镇乐余老街东侧乐悦广场11幢M105一、二层,Wi-Fi
208,花桥宜客莱,花桥镇西环路23号一层、花桥镇西环路11号二层,Wi-Fi
209,园区永旺,园区永旺梦乐城肯德基（电话65576195）,Wi-Fi
210,吴中永旺,吴中区经济开发区越溪街道苏震桃路188号永旺梦乐城吴中购物中心一层商铺,"Wi-Fi,点唱机"
211,吴中永旺甜品站,经济开发区越溪街道苏震桃路188号永旺梦乐城吴中购物中心三层商铺302-1,Wi-Fi
212,同里甜品站,吴江区同里镇三元街中川桥南堍一层,Wi-Fi
213,现代传媒广场67952920,苏州大道东265号苏州现代传媒广场一楼铺位号L107/L108负,"Wi-Fi,点唱机"
214,昆山万象汇,玉山镇前进西路1268号昆山万象汇商业中心项目S170a号商铺,Wi-Fi
215,观前一号,姑苏区观前街1-53号“观前1号”商场101-1&201-1商铺,"Wi-Fi,点唱机,店内参观"
216,盛泽凤凰荟,盛泽镇武威路588号碧桂园凤凰荟购物中心一层1-016,"Wi-Fi,点唱机"
217,昆山万象汇甜品站,玉山镇前进西路1266号昆山万象汇商业中心L349号商铺,
218,花桥鑫隆广场,花桥镇花溪路168号鑫隆广场1号楼4室一层8室一层,Wi-Fi
219,梅李大润发,梅李镇将军路128号“梅李大润发”一层1001号,"Wi-Fi,点唱机"
220,望亭禹州,望亭镇光明街南、鹤溪路东号一层、二层,"Wi-Fi,点唱机,店内参观"
221,张家港万达甜品站,人民东路20号万达广场三层3019号商铺,
222,通安华金,高新区通安镇华金路88号中诺誉园1幢107室1-2层,Wi-Fi
223,吴江明珠城甜品站,江陵西路1688号新湖广场负一层,
224,阳澄湖湘阳,湘城镇湘阳路1号一层69329271,Wi-Fi
225,银都广场,昆山市张浦镇银河路西侧新吴街999号银都商业广场一层六幢17、18号,"Wi-Fi,店内参观"
226,张家港凤凰,凤凰镇西凤公路西侧凤凰生活广场一层,Wi-Fi
227,吴江花园里,经济技术开发区兴中路以北地块,"Wi-Fi,点唱机"
228,昆山新生活荟,玉山镇前进西路2200号康居商业街一层铺位L1N02,Wi-Fi
229,相城活力岛,聚茂街198号水韵花都家园42号楼一层L113、L114商铺,"Wi-Fi,点唱机,店内参观"
230,曼巴特甜品站,杨舍镇河西路88号曼巴特购物广场1幢-M101负一层,
231,相城元联邻里,相城区元和街道安元路201号元联邻里广场一层103号66522327,"Wi-Fi,点唱机"
232,太仓丽景,郑和中路400号丽景广场1幢101室,"Wi-Fi,点唱机,店内参观,生日餐会"
233,锦丰服务西区,锦丰服务区西侧一楼112、113号,"Wi-Fi,点唱机"
234,锦丰服务东区,锦丰服务区东侧一楼112、113号,"Wi-Fi,点唱机"
235,新主城,横山路南滨河路西新主城一层、二层,
236,相城梦多多,元和街道润元路366号苏州梦多多小镇一层L1016、L1017号,Wi-Fi
237,昆山梦多多,玉山镇前进西路298-1、300-1号昆山梦多多小镇一层铺位编号L120号,"Wi-Fi,点唱机"
238,昆山经开万达,衡山路58号经开万达一层1001号,"Wi-Fi,店内参观"
